SkyId,numberHalos,x_ref,y_ref,halo_x1,halo_y1,halo_x2,halo_y2,halo_x3,halo_y3
Sky74,1,2302.13,3181.16,2302.13,3181.16,0,0,0,0
Sky75,1,304.1,621.62,304.1,621.62,0,0,0,0
Sky76,1,1017.36,3671.04,1017.36,3671.04,0,0,0,0
Sky77,1,1989.58,2110.15,1989.58,2110.15,0,0,0,0
Sky78,1,557.8,1667.74,557.8,1667.74,0,0,0,0
Sky79,1,3102.74,622.9,3102.74,622.9,0,0,0,0
Sky80,1,2766.53,56.79,2766.53,56.79,0,0,0,0
Sky81,1,570.98,1308.07,570.98,1308.07,0,0,0,0
Sky82,1,3125.19,2592.45,3125.19,2592.45,0,0,0,0
Sky83,1,2480.87,2357.96,2480.87,2357.96,0,0,0,0
Sky84,1,3100.76,3962.21,3100.76,3962.21,0,0,0,0
Sky85,1,1821.55,2503.15,1821.55,2503.15,0,0,0,0
Sky86,1,240.33,3327.76,240.33,3327.76,0,0,0,0
Sky87,1,3367.49,3146.58,3367.49,3146.58,0,0,0,0
Sky88,1,1644,371.71,1644,371.71,0,0,0,0
Sky89,1,3487.03,2272.38,3487.03,2272.38,0,0,0,0
Sky90,1,552.31,1898.67,552.31,1898.67,0,0,0,0
Sky91,1,782.08,2979.85,782.08,2979.85,0,0,0,0
Sky92,1,2714.03,3423.92,2714.03,3423.92,0,0,0,0
Sky93,1,1962.14,2337.37,1962.14,2337.37,0,0,0,0
Sky94,1,4106.42,3601.96,4106.42,3601.96,0,0,0,0
Sky95,1,3537.15,3426.49,3537.15,3426.49,0,0,0,0
Sky96,1,3418.39,3075.62,3418.39,3075.62,0,0,0,0
Sky97,1,569.53,66.86,569.53,66.86,0,0,0,0
Sky98,1,2882.48,3847.19,2882.48,3847.19,0,0,0,0
Sky99,1,3294.22,2646.39,3294.22,2646.39,0,0,0,0
Sky100,1,3868.67,978.09,3868.67,978.09,0,0,0,0
